"Sex","Age","Marital.status","Number.of.children","Years.of.education","Managerial.position","Work.hours","Full.time","Income","BWAS1","BWAS2","BWAS3","BWAS4","BWAS5","BWAS6","BWAS7","UWES1","UWES2","UWES3","UWES4","UWES5","UWES6","UWES7","UWES8","UWES9","MBI1","MBI2","MBI3","MBI4","MBI5","MBI6","MBI7","MBI8","MBI9","MBI10","MBI11","MBI12","MBI13","MBI14","MBI15","MBI16","PSS1","PSS2","PSS3","PSS4","PSS5","PSS6","PSS7","PSS8","PSS9","PSS10"
1,34,1,2,15,"Non managarial",40,1,NA,1,2,1,1,1,1,1,3,5,5,0,5,0,0,1,0,3,3,2,2,2,2,1,1,2,2,2,1,1,1,1,7,3,1,3,4,4,2,4,4,2,2
1,34,1,3,14,"Middle managarial",56,1,50000,2,4,2,2,1,1,2,5,5,6,4,4,4,5,6,0,3,4,2,3,3,2,3,1,1,7,7,7,2,1,1,1,2,1,3,5,4,5,4,4,3,2
1,59,0,3,14,"Non managarial",40,1,35000,1,3,1,1,1,1,1,5,5,6,6,6,6,6,6,5,2,2,1,1,7,1,7,1,1,7,7,2,7,1,1,7,1,1,2,2,4,2,5,3,3,2
1,21,1,1,14,"Non managarial",30,0,6000,3,3,4,2,2,1,1,1,2,3,3,3,3,4,4,2,4,4,4,2,4,1,1,3,3,2,5,3,7,1,1,3,3,5,4,3,3,4,3,2,3,5
1,20,1,1,14,"Non managarial",43,1,14000,4,5,4,4,2,5,4,4,2,2,0,0,2,0,0,0,5,7,6,6,5,4,4,3,5,5,NA,5,4,3,6,2,4,4,5,3,3,4,2,3,4,4
1,22,1,NA,14,"Non managarial",40,1,20000,2,2,1,1,1,1,1,4,5,5,3,2,3,3,NA,3,3,4,5,3,7,2,2,1,2,7,6,4,5,4,3,6,4,3,3,2,2,3,3,3,4,3
0,40,1,3,14,"High managarial",30,1,150000,1,3,2,1,1,1,1,5,5,4,1,0,5,6,5,5,1,4,2,5,7,2,6,1,NA,6,7,7,1,1,1,7,2,2,3,4,4,2,4,4,3,2
0,62,1,2,12,"Lower managarial",40,1,NA,2,2,1,2,3,4,2,3,3,5,5,5,4,4,4,3,3,4,2,1,6,1,2,1,1,5,5,5,6,5,1,NA,3,1,2,1,4,1,5,5,2,1
1,64,1,2,NA,"High managarial",50,1,NA,3,4,2,4,4,3,2,5,5,5,5,6,5,6,5,6,3,4,2,1,7,1,7,1,1,7,6,6,6,1,1,7,3,1,2,5,5,1,5,5,2,1
NA,66,1,5,26,"Non managarial",60,1,10000,3,4,2,3,5,5,3,6,6,6,6,6,6,6,6,6,1,6,1,1,7,1,7,1,1,7,7,7,7,1,1,7,1,2,2,4,5,2,1,5,2,2
1,46,0,3,26,NA,40,1,25000,1,2,1,1,1,1,1,5,5,5,5,4,4,6,0,0,6,6,6,6,6,6,6,4,6,7,5,4,6,6,6,6,3,3,3,4,3,4,3,2,3,4
1,54,1,3,26,"Lower managarial",46,1,75000,2,2,2,2,1,3,3,3,4,5,3,6,5,6,5,5,3,4,1,2,7,2,4,2,2,4,3,4,1,1,1,6,1,1,1,5,5,1,5,5,2,1
0,39,1,1,26,"Non managarial",50,1,NA,1,2,1,1,1,1,1,3,5,4,2,3,2,3,3,2,2,2,1,1,6,1,3,2,1,4,7,4,4,2,1,4,3,2,3,4,4,2,4,4,3,1
1,46,0,NA,26,"High managarial",45,1,NA,1,4,3,3,1,3,4,6,5,6,6,6,5,5,5,5,2,3,2,1,7,2,7,1,1,7,7,7,7,1,1,7,3,2,3,4,4,2,4,4,3,2
0,39,1,3,26,"Lower managarial",55,1,2e+05,2,4,1,3,3,3,1,5,5,5,5,5,5,5,5,2,2,3,2,2,7,1,4,1,1,7,7,7,7,1,1,7,2,1,3,5,5,5,5,5,3,1
